,full_name,selling_price,year,km_driven,fuel_type,transmission_type,mileage,engine
6745,Renault KWID RXT,3.75,2016,24000,Petrol,Manual,25.17,799
6746,Hyundai Grand i10,4.45,2017,44800,Petrol,Manual,18.9,1197
6747,Hyundai Grand i10,5.75,2017,21065,Petrol,Manual,18.9,1197
6748,Hyundai Verna 1.4,7.71,2018,16500,Petrol,Manual,17.43,1396
6749,Tata Tiago 1.2,4.34,2019,35000,Petrol,Manual,23.84,1199
6750,Maruti Swift LXI,2.9,2010,88466,Petrol,Manual,18.6,1197
6751,Renault KWID 1.0,3.6,2018,17500,Petrol,Manual,23.01,999
6752,Maruti Ciaz Delta,8.75,2020,6003,Petrol,Manual,21.56,1462
6753,Volkswagen Vento Petrol,6.7,2012,37000,Petrol,Manual,15.04,1598
6754,Hyundai Verna 1.6,6.25,2015,70000,Diesel,Manual,23.9,1582
6755,Maruti Baleno Alpha,7.5,2019,14171,Petrol,Manual,21.01,1197
6756,Ford Figo Petrol,3.7,2011,56000,Petrol,Manual,15.6,1196
6757,Maruti Alto 800,2.4,2017,35000,Petrol,Manual,24.7,796
6758,Tata Tiago 1.2,5.5,2019,20000,Petrol,Manual,23.84,1199
6759,Mahindra Scorpio SLX,2.95,2007,92000,Diesel,Manual,10.5,2179
6760,Maruti Wagon R,4.5,2014,39264,Petrol,Manual,20.51,998
6761,Ford Ecosport 1.5,5.7,2013,57000,Diesel,Manual,22.7,1498
6762,Hyundai Grand i10,5.95,2019,9000,Petrol,Manual,18.9,1197
6763,Hyundai Creta 1.4,8.7,2017,50000,Diesel,Manual,21.38,1396
6764,Maruti Wagon R,1.2,2008,80000,Petrol,Manual,18.9,998
6765,Renault KWID RXT,4.1,2019,15000,Petrol,Manual,25.17,799
6766,Renault KWID RXL,3.3,2019,10000,Petrol,Manual,25.17,799
6767,Ford Ecosport 2015-2021,8.75,2019,13050,Diesel,Manual,22.77,1498
6768,Ford Ecosport 2015-2021,7.75,2015,66000,Diesel,Manual,22.77,1498
6769,Renault KWID RXT,3.1,2016,40500,Petrol,Manual,25.17,799
6770,Datsun RediGO 1.0,2.5,2017,35000,Petrol,Manual,22.5,999
6771,Tata Tigor 1.2,5.0,2018,35000,Petrol,Manual,20.3,1199
6772,Mahindra Bolero DI,3.85,2009,139000,Diesel,Manual,13.6,2523
6773,Maruti Wagon R,2.1,2012,82088,Petrol,Manual,18.9,998
6774,Maruti Celerio VXI,4.5,2018,22000,Petrol,Manual,23.1,998
6775,Hyundai i20 Sportz,3.0,2013,90000,Diesel,Manual,21.9,1396
6776,Ford Figo Diesel,4.25,2015,96000,Diesel,Manual,20.0,1399
6777,Maruti Wagon R,4.1,2017,44000,Petrol,Manual,20.51,998
6778,Hyundai Grand i10,4.95,2016,29000,Petrol,Manual,18.9,1197
6779,Maruti Swift VXI,3.25,2012,49000,Petrol,Manual,21.21,1197
6780,Volkswagen Polo Petrol,3.2,2011,61000,Petrol,Manual,16.47,1198
6781,Mercedes-Benz E-Class E250,9.75,2010,85000,Diesel,Automatic,14.21,2143
6782,Maruti Wagon R,4.4,2016,14000,Petrol,Manual,20.51,998
6783,Hyundai Grand i10,6.4,2018,5000,Petrol,Manual,18.9,1197
6784,Maruti Ertiga VXI,6.49,2014,48000,CNG,Manual,22.8,1373
6785,Maruti Swift LXI,5.25,2016,42000,Petrol,Manual,20.4,1197
6786,Maruti Alto 800,2.6,2014,60000,CNG,Manual,30.46,796
6787,Hyundai Verna CRDi,9.8,2017,40000,Diesel,Automatic,22.0,1582
6788,Ford Ecosport 2015-2021,9.5,2018,25000,Diesel,Manual,23.0,1498
6789,Maruti Alto 800,3.35,2019,22987,Petrol,Manual,24.7,796
6790,Maruti Celerio VXI,4.5,2016,30000,Petrol,Automatic,23.1,998
6791,Mahindra XUV500 2011-2015,8.0,2014,220000,Diesel,Manual,15.1,2179
6792,Ford Ecosport 1.5,4.2,2013,68281,Diesel,Manual,22.7,1498
6793,Hyundai i20 Asta,8.75,2018,38000,Diesel,Manual,22.54,1396
6794,Honda City 1.5,5.3,2011,85000,Petrol,Manual,17.0,1497
6795,Hyundai i10 Era,1.75,2008,51000,Petrol,Manual,19.81,1086
6796,Maruti Ertiga VXI,7.95,2018,25000,CNG,Manual,17.5,1373
6797,Skoda Rapid 1.6,2.95,2012,57000,Petrol,Manual,15.0,1598
6798,Maruti Baleno Zeta,7.5,2020,7000,Petrol,Manual,21.01,1197
6799,Maruti Swift AMT,6.6,2019,11893,Petrol,Automatic,21.21,1197
6800,Ford Ecosport 2015-2021,7.25,2015,36203,Diesel,Manual,22.77,1498
6801,Hyundai Grand i10,4.3,2014,70000,Petrol,Automatic,18.9,1197
6802,Ford Ecosport 2015-2021,8.65,2016,47935,Petrol,Automatic,14.7,1496
6803,Hyundai Verna VTVT,9.7,2019,15000,Petrol,Manual,17.0,1591
6804,Maruti Ertiga BSIV,7.5,2017,20000,Petrol,Manual,17.5,1373
6805,Hyundai i20 1.2,3.0,2011,65000,Petrol,Manual,18.5,1197
6806,Hyundai i10 Sportz,3.85,2011,83347,Petrol,Manual,20.36,1197
6807,Maruti Alto 800,2.7,2015,49000,Petrol,Manual,22.74,796
6808,Ford Ecosport 2015-2021,9.9,2018,60000,Diesel,Manual,23.0,1498
6809,Maruti Alto 800,3.25,2016,77658,CNG,Manual,33.44,796
6810,Ford Figo Diesel,3.65,2012,79000,Diesel,Manual,20.0,1399
6811,Honda City 2017-2020,1.4,2008,122671,Petrol,Manual,17.7,1497
6812,Honda WR-V i-VTEC,7.33,2017,22500,Petrol,Manual,17.5,1199
6813,Hyundai Verna 1.6,6.3,2012,90000,Diesel,Manual,22.32,1582
6814,Honda City i,5.8,2014,62000,Diesel,Manual,26.0,1498
6815,Hyundai i20 Asta,2.15,2010,78000,Diesel,Manual,23.0,1396
6816,Hyundai Grand i10,3.6,2014,39000,Petrol,Manual,18.9,1197
6817,Maruti Ciaz 1.4,7.25,2017,58000,Petrol,Manual,20.73,1373
6818,Hyundai i20 1.2,2.75,2011,50000,Petrol,Manual,18.5,1197
6819,Honda City 2017-2020,2.49,2006,89500,Petrol,Manual,17.7,1497
6820,Ford Figo Diesel,2.85,2012,106000,Diesel,Manual,20.0,1399
6821,Maruti Ertiga VXI,6.5,2014,60000,Petrol,Manual,16.02,1373
6822,Maruti Eeco 7,3.7,2019,30000,Petrol,Manual,15.37,1196
6823,Mahindra XUV500 W8,8.25,2012,120442,Diesel,Manual,15.1,2179
6824,Maruti Wagon R,3.85,2015,25000,CNG,Manual,26.2,998
6825,Maruti Swift Dzire,3.4,2012,45000,Petrol,Manual,17.5,1298
6826,Renault KWID 1.0,3.3,2017,25000,Petrol,Manual,23.01,999
6827,Datsun RediGO 1.0,2.8,2018,22500,Petrol,Manual,22.5,999
6828,Hyundai i20 1.2,6.35,2018,30000,Petrol,Manual,18.6,1197
6829,Honda City i,8.25,2016,50000,Diesel,Manual,26.0,1498
